EmployeeID,Name,Department,Age,Salary,City,JoiningDate,Email,Phone,Performance
2115,James Davis,Operations,39.0,104959,Port Jennifer,25-05-2019,rodriguezjason@hancock-maldonado.com,8277943059,Good
1573,Brian Grimes,Finance,48.0,79413,Lake Sarahfurt,05-06-2023,markyoung@gmail.com,4666763289,Excellent
1793,Steven Johnson,Finance,54.0,84131,Claireborough,21-10-2025,veronicareynolds@yahoo.com,2682682492,Excellent
1086,Katherine Dawson,Operations,49.0,109678,Lake Elizabeth,10/27/2025,jessicaflowers@yahoo.com,2025437547,Good
1159,Jason Lynn,Sales,39.0,56518,Wrightborough,19-03-2022,rebecca23@yahoo.com,4865240156,Average
1624,Natalie Jones,IT,54.0,62161,North Johnfurt,11/19/2024,jgomez@hotmail.com,8901753054,Good
1375,Nathan Coleman,HR,32.0,35487,Port Charlesmouth,11-04-2026,millermark@daniels.biz,5789106670,Excellent
1246,Ryan Anthony,HR,41.0,88010,North Glennfurt,24-04-2020,ryanhenry@gmail.com,2312214001,Poor
1729,Scott Burke,HR,58.0,51499,Port Ericview,16-09-2024,ortizrebecca@rodriguez-myers.com,8036300710,Excellent
2009,Michelle Frey,Finance,53.0,102990,Port Patrick,12/06/2019,tommymiller@olson.com,4414719113,Good
1729,Lisa Johnson,Operations,49.0,81176,South Robintown,14-06-2018,adkinsemily@gmail.com,6505140883,Average
1968,Nicholas Smith,IT,23.0,37978,Port Brettton,2026/03/18,kellypatton@gmail.com,8673074005,Poor
1263,Paul Sullivan,Operations,52.0,117916,North Sarah,31-05-2026,grace56@griffin.com,6333947763,Excellent
2091,Phillip Ramirez,Marketing,51.0,100786,Dunlapstad,04/27/2023,daniel46@tran.org,7044206576,Excellent
1258,Lisa Allen,Marketing,53.0,26542,South Angelaport,05/03/2019,jordan96@yahoo.com,7421212253,Poor
1174,Carrie Bowen,Operations,50.0,26938,Karenville,04/26/2025,kaylasanchez@leonard.info,8208366784,Excellent
1375,  MICHELLE SPENCE  ,IT,25.0,62350,Stephenburgh,2024/12/16,josephturnergmail.com,4161858196,Excellent
1909,  SARA YATES  ,Marketing,52.0,77678,North Dennishaven,2021/07/12,michelle67gmail.com,5208983358,Poor
1408,Bradley Brown,Finance,31.0,101689,Lake Cassidyton,18-04-2019,rwilliams@hotmail.com,2328103110,Average
1451,Steven Rivera,IT,52.0,92659,Rachelland,2021/03/27,meadowsmichael@richardson-jones.info,8893646557,Excellent
1005,Joshua Gillespie,HR,32.0,86784,West Bruce,05/28/2019,jamesperez@hotmail.com,4911109492,Average
1744,Regina Morris,Finance,54.0,109961,East James,21-02-2021,pcollinsgriffin.org,4497052085,Poor
1445,Gerald Burgess,HR,58.0,47073,Jonathanview,08/15/2020,baileydawn@hotmail.com,9506468074,Average
1742,Kelly Tucker,Operations,42.0,42861,Leonardland,01/13/2020,cheyennedixon@hotmail.com,5263989906,Good
1092,Michael Taylor,IT,31.0,39894,West Sandraport,2023/02/10,mariaschmidt@gmail.com,7463762587,Average
1697,Nicole Williams,HR,,110885,Lewisberg,02/14/2024,jennifercolegmail.com,8116594401,Average
1559,Stephanie Green,HR,28.0,66960,North Brucemouth,23-08-2021,brian00@rosales-sanchez.com,4719626092,Excellent
1746,Mary Turner,IT,59.0,104043,Markview,2021/10/27,reyesmichael@gmail.com,0742965703,Excellent
1395,Tyler Brooks,Marketing,38.0,110887,North Richard,2024/01/16,staceybutler@diaz.info,1327698789,Good
1276,  KAREN JONES  ,Operations,43.0,43432,Wendybury,12/30/2021,alexander59@hill-vargas.com,4115358970,Good
1050,Jessica Zimmerman,Sales,55.0,47916,Port Annton,09/28/2018,carlashort@barrett.com,2314552394,Good
1342,Alejandra Smith,Finance,28.0,65739,East Patrick,01/29/2021,jonesrachael@gmail.com,4212921341,Good
1184,Brian Romero,Sales,53.0,76378,New Candace,13-04-2026,scottkyle@hotmail.com,9601284487,Excellent
1794,Jennifer Palmer,HR,27.0,55875,Holderborough,2025/03/17,matthewmunoz@smith.com,2693019941,Good
1591,Jake Jones,Operations,57.0,53961,Lake Patricia,01/30/2019,williamshelen@hotmail.com,5084898337,Average
1033,Leah Cortez,Marketing,35.0,43184,Emmafort,02/06/2023,iyoung@hotmail.com,9470632796,Average
2105,James Hill,Operations,58.0,49143,Ellisfurt,22-03-2025,lynncarpenter@yahoo.com,7135543112,Good
1753,Jonathan Martinez,IT,,27065,Johnsonmouth,2023/04/07,josephmurillo@smith.com,1435282389,Average
1323,  JESSICA WALTER  ,Finance,43.0,78744,Lake Maryfurt,09/09/2021,cassie65@gmail.com,8306416833,Good
1802,Jorge Moore,HR,31.0,33748,Port Erica,04/21/2026,sandyburns@duran-ferguson.net,4649058599,Excellent
1661,Richard Miller,Sales,50.0,100657,Reynoldstown,14-05-2025,charlesperkins@hotmail.com,9404556631,Good
1523,Hayley Young,Operations,39.0,117150,North Austin,2018/11/20,cindy16@roberts.com,2486054714,Good
1092,Luis Snow,Marketing,58.0,58338,West Diane,02/01/2020,michaeloliver@watkins.info,4498983515,Good
1427,  STEPHEN MOORE  ,Finance,44.0,76470,East Thomas,17-08-2024,boydtiffany@gmail.com,4063551739,Poor
1235,Nicholas Brown,Marketing,34.0,99410,South Debbie,2023/10/12,james92@yahoo.com,4283515209,Average
2039,  SARAH CORDOVA  ,IT,60.0,83034,Deanside,2019/12/16,pedronguyen@gray.com,5215673995,Average
1964,Beverly Walls,Operations,30.0,26146,Kevinmouth,2025/08/19,smithcarrie@hotmail.com,8496923734,Average
2198,  JENNIFER ROGERS  ,Marketing,28.0,38358,Wardfurt,2019/11/16,danielscott@yahoo.com,2249072634,Good
1997,James Sanders,HR,27.0,117668,Grantbury,2026/02/15,jennifer91@hotmail.com,9932753948,Good
1713,Victoria Yoder,Finance,37.0,73878,Allenside,10-11-2022,westangela@chang.com,2989583524,Average
1159,  WENDY GARCIA  ,Operations,42.0,111314,West John,21-02-2024,jthompson@hotmail.com,9949386711,Poor
1033,Mrs. Lisa Bush,Sales,49.0,53085,New Patriciamouth,28-04-2021,kathryn73@yahoo.com,7528078922,Poor
1535,Patrick Alvarez,Operations,27.0,43114,West James,11/25/2019,christopher99@bryant.com,2712367280,Average
1742,Renee Mcpherson,Finance,53.0,78445,East Randall,06/14/2023,carolhayden@griffith.com,4992004893,Poor
2138,April Sanchez,Finance,33.0,74690,Palmerhaven,12/16/2019,michael29@lewis.biz,3336941935,Good
1898,Nancy Valdez,Finance,49.0,56720,Hayeschester,2020/09/07,paulelliott@hotmail.com,7035305658,Excellent
1517,Sarah Snyder,HR,29.0,75091,Port Gail,01-02-2021,amanda54@mack.com,4355676543,Excellent
1010,Paul Williams,HR,60.0,84824,New Mark,04/27/2023,leah84@gmail.com,8828193146,Average
1350,Alexis Dalton,IT,21.0,91543,South Spencer,23-01-2025,randy39@ortiz.com,4806429969,Good
1729,  JAMES HERNANDEZ  ,Marketing,33.0,33640,Wendyfurt,2020/06/02,harrisann@gmail.com,2404965187,Good
1079,Ana Scott,HR,43.0,65380,New Phillip,2023/10/20,timothyyoung@holloway.com,9691643360,Poor
1837,Justin Johnson,Marketing,45.0,61826,East Emily,11/20/2020,ellismarcus@gmail.com,7909401754,Poor
1454,Margaret Ellison,Finance,30.0,73281,South Christopherstad,06/17/2019,andrea22@roman.com,1961112872,Excellent
1143,Rebecca Baird,Finance,33.0,53415,South Chadport,28-10-2023,alan38@yahoo.com,8599480593,Excellent
1650,Angela Hartman,IT,48.0,50065,North Jeffery,06-07-2019,gouldlatoya@rios-hooper.net,7367235893,Excellent
1047,Carol Kim,IT,22.0,43829,Lake Amymouth,10/13/2020,paul50@hayes.com,8066863801,Excellent
2155,Melissa Sosa,Sales,33.0,74205,Marychester,2023/05/28,nhensley@perry.info,3701178441,Average
1467,Nichole Schultz,HR,51.0,75952,Davisfort,2018/11/10,smithmichael@gmail.com,4668751937,Average
1718,Amber Hernandez,IT,50.0,29830,Porterberg,2022/02/25,upierce@gmail.com,1051874439,Average
1244,Mario Murray,Finance,35.0,47801,South Jeffreymouth,06/19/2018,castanedajohnny@hotmail.com,1337874614,Good
1478,Patrick Hernandez,IT,56.0,87100,Morganville,14-05-2025,lcoleman@gmail.com,4109327107,Average
2024,Amanda Rogers,Finance,55.0,36411,South Amber,04/28/2020,ecoffey@griffith.com,5262537730,Good
1185,Darryl Ford,Sales,23.0,42687,Keithmouth,18-07-2019,qhurst@flores.biz,8770251786,Average
1045,  ROBERT NIXON  ,Finance,25.0,93841,Lindashire,03/05/2025,jason15@hotmail.com,7181314094,Poor
1650,Michael Adams,IT,52.0,107757,Thomaston,06-03-2022,kstevensrobbins-mitchell.com,5967868426,Poor
2053,Cindy Fox MD,IT,60.0,76568,Lake Victor,2021/08/12,johnsondeborah@gmail.com,1977697024,Average
1286,Yvette Gonzalez,Operations,45.0,107793,New Joyce,10/22/2025,leonardmartinez@gmail.com,9498668800,Average
1211,Luis Peters,Finance,43.0,107961,Thomasville,12/09/2020,perezstephanie@hotmail.com,4829612188,Poor
1330,Cathy Reyes,IT,43.0,29018,Port Kimtown,22-07-2023,parrishkimberly@peters.net,1793543800,Average
2070,  LORI CANNON  ,IT,29.0,83385,New Staceyfurt,08/31/2021,cpeterson@roth.com,6502375808,Good
1316,Nicholas Turner,HR,,119227,Baileyshire,01/30/2022,fowlerbrad@hotmail.com,2699750977,Excellent
1576,Christopher Owens,IT,57.0,101275,Stephanietown,2021/09/24,garciasherri@yahoo.com,9954013739,Excellent
2067,Emily Thompson,Marketing,58.0,87280,West Robertbury,01/10/2025,michaelwilliams@gmail.com,6294375653,Good
1107,Jaime Willis,Operations,54.0,57983,Villanuevastad,23-11-2018,williampeterson@yahoo.com,7611073280,Good
1380,Taylor Carter,IT,42.0,72736,East Christopherport,03/14/2019,jmoran@flowers.net,4657744438,Excellent
1466,Elizabeth Mann,Finance,40.0,26048,Mcclainberg,05/28/2022,jenniferhickman@peterson.net,3533295621,Excellent
1680,Stephanie Rogers,HR,41.0,59150,East Jillbury,10/08/2020,dustinreyes@yahoo.com,4992446669,Good
1175,Sandra Wood,Finance,51.0,74349,Lake Emily,30-05-2024,yrodriguez@clarke-acevedo.net,9231205302,Average
1286,Ryan Fisher,Operations,,99384,West Michaelport,2022/08/02,johngregory@gmail.com,9062332770,Poor
1309,Mark Griffin,Marketing,41.0,39262,North Theodorestad,05/20/2022,kennethjordan@mcconnell-davis.org,3527679737,Average
1127,Denise Kelly,IT,50.0,68206,South Richard,2021/04/28,kelsey99@gmail.com,3157132328,Average
1325,Mr. Matthew Myers,IT,34.0,39335,New Meganshire,28-05-2020,christopher75@gmail.com,7220230535,Poor
1419,James Schultz,Finance,34.0,81581,East Michaelfort,24-04-2022,nathan61@durham.com,4491945854,Excellent
1624,Nicholas Ramsey,Operations,56.0,45691,Ronaldfurt,24-11-2018,davidbarton@gmail.com,9840993906,Poor
1722,Matthew Boyle,Finance,27.0,35367,East Emilymouth,10/04/2019,charlesbradley@ingram.com,1353958677,Poor
1476,Gregory Jones,Finance,40.0,55136,North Christina,03/30/2026,kirkmichael@bruce.com,7454817474,Excellent
1070,Robert Hawkins Jr.,Marketing,58.0,88468,West Shannon,2023/07/15,llambert@gmail.com,4432261978,Good
1532,Christian Garcia,Marketing,53.0,112479,South Jaredland,15-08-2019,amandashaffer@murphy.org,1875239409,Good
1550,Dr. Julie Kennedy,HR,28.0,45827,North Joshua,08/24/2025,qkim@gmail.com,4987800798,Good
1474,Alicia Peters,HR,53.0,98990,North Davidborough,16-12-2024,twilson@yahoo.com,9478728871,Poor
1420,Amy Stevens,Sales,32.0,77298,Wilsonville,2023/09/07,xmorrow@gmail.com,0951096931,Excellent
1361,  MARVIN GORDON  ,IT,44.0,117038,Joshuabury,20-08-2021,markandersen@adams.com,4329425253,Poor
1604,Eric Patton,Marketing,43.0,68209,North Amber,01-12-2020,mharper@gmail.com,2054801787,Average
2164,  EILEEN PETERSON  ,IT,,107845,Webbview,14-05-2025,ulopezyahoo.com,7700497314,Good
1478,Cynthia Grimes,HR,40.0,104919,Williamsonmouth,20-08-2024,richardgriffin@hotmail.com,2687189944,Poor
1802,Gregory Nelson,IT,25.0,43812,East Cynthia,29-02-2024,xjohnston@gmail.com,4764184642,Average
1679,Mathew Acosta,Sales,44.0,31863,Leeland,2019/12/31,kevinvelasquez@hampton.com,4567181870,Average
2122,Brandon Gibson,Sales,36.0,47445,Wellsburgh,31-05-2023,nichole82@ho-gregory.com,0577002521,Poor
1110,  MICHELLE FERGUSON  ,Sales,43.0,94256,Martinezmouth,2025/11/16,carol17@livingston.org,0183567673,Excellent
1381,Emma Edwards,Marketing,54.0,102856,East Danielton,2024/11/20,jessicaturner@marshall.com,9917468621,Good
1149,Kayla Nicholson,Sales,33.0,118700,Christopherland,07/01/2025,ramosjacob@yahoo.com,3208313565,Good
1897,Katelyn Mooney,Sales,50.0,62271,Cohenview,12/30/2019,sreynolds@yahoo.com,5209246574,Good
1268,Kayla Burton,Operations,48.0,88307,Rubentown,2022/08/02,howellandrew@hotmail.com,0775838168,Excellent
1487,Linda Pineda,Marketing,34.0,49522,Port Mary,10-11-2022,john18@gmail.com,1088261221,Excellent
1294,Patrick Anderson,HR,51.0,119871,Melissaton,2023/07/30,timothyortiz@yahoo.com,7063503922,Poor
1169,Christopher Reynolds,IT,23.0,71364,South Gregoryland,04/13/2026,watkinspatricia@hotmail.com,2505982605,Average
1900,Peter Estrada,Sales,21.0,60963,Hebertport,31-08-2018,iwilson@yahoo.com,6863177891,Poor
1215,Nancy Anderson,Sales,55.0,79830,Port Drewland,01-01-2026,chamberscarolyn@gmail.com,3045166176,Average
2111,Lindsey Becker,HR,33.0,91304,Lake Donna,2024/09/04,uhickman@hotmail.com,8494641796,Excellent
1752,Tiffany Harris,Sales,42.0,62307,Lake Sheri,2025/07/08,olopez@gray-clayton.org,3652753225,Average
1157,Devin Barrett,HR,48.0,69665,Port Henry,2023/06/08,scottbridges@hotmail.com,8672508224,Average
1388,Megan Stevens,Sales,58.0,45789,Rosshaven,12-05-2026,williamscraig@mcdonald.com,9668813116,Excellent
1648,David Bailey,Finance,33.0,99133,Port Andreastad,12/24/2021,tsnyder@yahoo.com,5594734000,Average
1023,Sean Owen,Operations,34.0,114515,North Keith,17-04-2022,jasonjackson@yahoo.com,0108752347,Poor
1296,Emily Horton,Operations,27.0,54297,Millerbury,09/14/2019,judith26@wood.com,6804996820,Poor
1419,Julie Frank,IT,27.0,55083,East Bradleymouth,28-05-2021,christine00@yahoo.com,3890884365,Poor
1539,Jason Stewart,HR,39.0,110448,West Phyllis,2021/07/23,zachary42@smith.net,8552409516,Good
2045,  ANNA LOPEZ  ,Operations,53.0,97167,Lake Jonathanstad,12/21/2019,chelseasweeney@reyes-white.info,0971456085,Poor
2068,Amanda Aguilar,Finance,36.0,63133,Smithchester,2019/01/05,williamwilliamsguerrero.net,5551229488,Average
1786,Jennifer Foster,Finance,,97279,Katherineland,10-12-2023,jordankatrina@hotmail.com,3832977201,Average
1676,Caitlin Vance DVM,Sales,29.0,58062,New Vincentport,2023/05/28,carlforbes@hotmail.com,6441360439,Poor
1038,Jade Tate,Finance,59.0,26183,Lake Charlottestad,2025/08/12,kristopher91@gmail.com,0776933492,Good
1511,Sarah Bauer,Operations,42.0,77704,Jeffstad,09-08-2019,rogersrebecca@gallegos.net,9719345656,Poor
1233,Kathy Brooks,IT,42.0,30021,Angelaland,2022/03/22,howarddavid@espinoza-ortiz.com,3618628062,Poor
2130,  MICHELLE RODRIGUEZ  ,Marketing,32.0,98253,Deanmouth,2019/10/08,stephanie29@acevedo-hardin.com,2153266260,Poor
1628,Michael Johnson,IT,54.0,114513,Howellborough,2019/07/09,nancy79@delgado-huerta.info,5770810206,Excellent
1584,Dana Hood,Finance,42.0,101373,Popefurt,01/22/2019,patrick13@sanchez.com,3205097376,Poor
1005,Rebecca Ware,Marketing,39.0,105450,Zavalatown,04/08/2020,uleon@hotmail.com,8596203294,Excellent
1645,  WILLIE GARCIA  ,Marketing,37.0,43241,Silvaborough,06/11/2025,vegaashley@hotmail.com,4741967042,Good
2078,Nathan Rubio,Finance,40.0,65186,Foleymouth,2021/01/19,kathleen99@hotmail.com,9950795605,Average
2132,Christopher Santiago,Sales,43.0,41691,North Davidhaven,07-12-2018,fcarpenter@hotmail.com,8539142734,Average
1148,Maureen Lynch,HR,29.0,88904,Lake Jenniferport,2019/08/26,kmartinez@jones.com,5897284791,Average
1338,Richard Davidson,Marketing,39.0,112067,East Lisafurt,17-06-2020,robert94@liu.info,7322526679,Good
2123,Michael Nash,Sales,22.0,50918,Lake Robin,2024/11/02,josephsanchez@gmail.com,8403588779,Excellent
1347,Aaron Mercado,HR,23.0,108848,New Anthony,2019/06/18,ndaniels@warren.biz,6054435139,Good
1230,Timothy Wiggins,Finance,49.0,38698,Jamesfort,10-10-2022,xbarber@woods.biz,8135248290,Average
1976,Eric Nunez,HR,28.0,111920,Lake Tammy,12/10/2024,qdelacruz@yahoo.com,8705804455,Average
1614,Bryan Mejia,Marketing,35.0,118227,Port Benjamin,06-09-2018,pking@hotmail.com,2489108905,Average
1031,Eugene Maxwell,IT,28.0,92833,North Bettychester,10/24/2019,xsmith@rodriguez.com,9292766478,Poor
1414,Scott Duncan,Finance,35.0,89042,Allenville,06/06/2025,justin54@gmail.com,0985025931,Good
1840,  MRS. JENNIFER GIBSON  ,Finance,55.0,96273,Mayerbury,03/09/2021,darylhenry@gmail.com,4050655015,Good
1276,Lindsey Hall,Operations,29.0,119332,West Christopherchester,09-09-2022,umorris@wagner.com,5247122404,Excellent
1896,Tammy Juarez,IT,22.0,85967,Hopkinsfurt,11/24/2019,wanda65@gmail.com,9307292648,Good
1113,Kimberly Bailey,IT,48.0,64429,Charlesmouth,07-02-2020,mariasnow@hotmail.com,1406327962,Excellent
1978,Brenda Clark,Sales,38.0,77432,New Tanya,04/25/2023,longtricia@nguyen.com,9322601427,Excellent
1140,Richard Clark,HR,24.0,25387,Amandaville,09/02/2021,charles55gmail.com,0088525571,Excellent
1790,Sharon Edwards,Marketing,31.0,64360,Walshside,25-11-2023,brendawilson@gmail.com,1975060497,Poor
1127,Jacqueline Johnson,Finance,25.0,100895,New Anna,2025/04/28,matthewpetty@hotmail.com,4265428404,Average
2103,  TRACEY CHAPMAN  ,Finance,31.0,94170,Richardside,2020/03/27,bwhite@peters.com,8507423272,Excellent
1910,George Carter,Marketing,49.0,88922,Kingbury,10/26/2025,marcus06@wilson-smith.com,4191465032,Poor
1387,Jesse Avila,IT,28.0,41660,Jenniferton,2021/03/15,stricklandnathan@hotmail.com,2575888684,Excellent
1277,Clifford Flores,Sales,59.0,63906,New Timothyfurt,29-09-2022,princenicole@phillips.net,4309723899,Average
1265,Sabrina Houston,IT,31.0,61785,Lopezside,26-12-2024,michael43@yahoo.com,9662326697,Excellent
1624,Stephanie Anthony,Finance,53.0,42219,West Jeffreyton,03-09-2024,shawn89@hotmail.com,9281040118,Excellent
1879,Whitney Frye,Operations,29.0,26044,Jessicaview,08/16/2019,emily45@hotmail.com,7898090895,Average
1982,Elizabeth Gomez,Marketing,50.0,30590,Ramosborough,11/06/2024,omurphy@yahoo.com,1703497551,Average
1920,  CASSANDRA MEZA  ,Operations,57.0,82327,South Dariuston,03/06/2025,joseph28@morse.net,9431040817,Poor
1826,Aaron Reed,Finance,29.0,69751,Kingchester,16-11-2023,kristihooperjohnson.org,5238955970,Excellent
1845,Samantha Sherman,HR,40.0,90092,West Robertchester,2018/08/19,rothadam@yahoo.com,9812973772,Average
2196,Joseph Mccoy,Operations,43.0,54089,Lake Dawn,10/28/2025,andersonjennifer@robinson.com,7938214146,Average
1839,Elizabeth Holt,IT,32.0,75029,Melissaberg,09/03/2021,xmcgrath@hotmail.com,9611975137,Good
1143,Catherine Martinez,HR,,108352,Port Debbiemouth,01/31/2026,davisannedavidson.info,2550091073,Average
1829,Cody Meyer,HR,55.0,36823,South Richard,2018/09/24,novakdaniel@murphy.com,8317228107,Excellent
1384,Kathleen Coleman,IT,31.0,68244,Williamsfort,02/04/2021,ymorgan@zimmerman.info,8975304412,Poor
1613,Robin Carroll,Finance,57.0,34044,South Keith,11-02-2020,adamrodriguez@white-rogers.biz,9969993164,Good
1571,Luis Cameron,Finance,52.0,70291,Rosestad,06-02-2022,candice58@gmail.com,5682737967,Good
1577,Stephanie Grant,Finance,23.0,68052,South Lorishire,28-11-2025,revans@yahoo.com,2250283416,Average
1950,Thomas Horton,IT,27.0,26576,New Christinefort,10-08-2021,rangeldavid@hotmail.com,6184321404,Average
1707,Maurice Gibson,IT,53.0,67699,Davenportland,02-05-2019,kylewells@norton.biz,4975191694,Good
1000,Charles Guzman,Operations,46.0,64402,New Theodore,24-12-2018,christian76@hotmail.com,3853317603,Average
1380,Jeffrey Little,Finance,38.0,27577,New Carriechester,06/04/2022,natalievance@yahoo.com,7404266051,Poor
2086,  WILLIAM THOMAS  ,HR,46.0,86515,Oscarton,2023/04/12,pcampbell@williams-sanchez.biz,9394790014,Average
1826,Caroline Farmer,IT,25.0,52418,Joyborough,2021/01/24,alice64@nichols-aguirre.com,8192212663,Excellent
1949,Joshua Heath,Finance,21.0,40375,Manuelland,26-02-2020,karen08ramsey.com,8366722869,Good
1792,Justin Moore,Marketing,24.0,83532,Suttonstad,06/03/2018,sherrijames@yahoo.com,7657590834,Excellent
1361,John Banks,IT,57.0,41267,South Suzanne,30-08-2021,bvargas@yahoo.com,9325885574,Excellent
1222,Jared Serrano,Operations,51.0,110579,Arthurton,30-11-2021,melissamiller@yahoo.com,7910533184,Excellent
2082,Jeffery Gray,HR,56.0,51858,Palmerstad,10/09/2025,leonardparks@may-thompson.com,9807289821,Good
2019,Barbara Rogers,Marketing,30.0,84127,Port Janicemouth,2021/10/07,xwilkins@lewis-peterson.biz,3068958284,Good
2182,  JAMES SIMON  ,IT,51.0,75787,East Derek,05/05/2022,chelsea96@wheeler.com,6989354812,Excellent
1258,Michael Mendoza,Operations,50.0,95134,East Lucasstad,2023/11/19,jeremyjohnsonyahoo.com,2719210811,Excellent
1963,Madison Graham,Finance,39.0,92795,South Sherry,07-08-2023,jonesjulie@anderson.com,4446431068,Poor
1879,Patricia Glass,Sales,32.0,45577,Rosarioshire,04-07-2018,joshuapayne@ray.info,6459918242,Good
1195,Sharon Moody,Marketing,24.0,94488,Port Rachel,03/08/2021,nicoledavis@martinez.com,2479604212,Good
1062,Karen Whitaker,IT,41.0,49792,New William,2022/07/27,dwright@hotmail.com,0186979860,Poor
1552,Monica Lee,IT,44.0,70593,Greenland,06/10/2020,denisearnold@wheeler.com,2413699651,Good
1785,Ronald Gamble,IT,42.0,101224,Fosterton,09/04/2019,lewisamy@leblanc.com,6960029448,Poor
1232,Jennifer Morales,HR,48.0,57326,East Stephenview,14-03-2024,andrewrodgersgmail.com,3273661315,Good
1691,Michelle Reyes,Operations,46.0,42191,Smithchester,09/05/2020,fcraig@evans.org,2434814140,Average
1709,Karen Barton,Finance,,112106,Abbottberg,01/26/2024,mariah99@yahoo.com,4139390754,Excellent
2028,William Henderson,HR,37.0,74387,East Richard,04/20/2025,timgutierrez@crawford.info,8172756077,Good
1172,Julia Williams,Finance,60.0,71456,Port Adam,15-09-2021,ctorres@perez.com,8997093369,Good
2200,Michael Galvan,IT,34.0,35654,North David,2019/02/11,mtorres@gmail.com,7852139484,Average
1421,Penny White,Marketing,,30003,Traceyton,06-01-2019,drodriguez@wright-benson.com,9012353862,Poor
2092,Stacey Lopez,Operations,56.0,109061,Berryport,26-09-2021,porternicholas@hotmail.com,9478415842,Average
1362,Crystal Doyle,IT,30.0,109173,Shepherdburgh,01/21/2026,meltonian@robinson.net,4676279574,Average
1901,Ana Garrison,HR,57.0,25120,Port Tyler,19-02-2019,ibriggs@esparza.net,0558737183,Excellent
1283,Angel Wheeler,Operations,52.0,75688,Lake Margaret,01/06/2024,morgan87@simpson-lopez.com,2115676984,Excellent
2147,Nicholas Smith,Operations,25.0,100720,Mossborough,25-05-2020,susandougherty@gmail.com,6662048531,Average
1476,Stacey Martin,HR,33.0,54178,New Nathanchester,24-01-2019,williammccoy@perkins.org,2955102079,Average
1348,James Wang,Operations,32.0,67553,East Andrew,2018/09/20,audreymcclure@gmail.com,4366905000,Excellent
1673,Edward Miller,Marketing,39.0,58627,East Philip,2026/05/30,ashleesnyder@yahoo.com,8649074166,Excellent
1148,Jonathan Peterson,IT,26.0,61242,East Cynthiaberg,12/07/2021,myerskaren@yahoo.com,1878039888,Average
1578,  NATHANIEL RICHARDSON  ,Finance,27.0,95009,Amyland,2022/06/26,welchebony@yahoo.com,0120045017,Good
1391,Christopher Ayers,IT,28.0,47655,Adammouth,2021/05/19,coxalex@lewis.com,2558585103,Excellent
1981,Kimberly Reese,Marketing,23.0,73208,Larryshire,10-09-2023,xedwards@parker.biz,1125498827,Poor
1918,Christopher Robinson,HR,,35265,West Williamhaven,06-08-2025,fharris@gmail.com,8278777279,Good
1070,Phyllis Yoder,HR,36.0,80184,North Lauraland,05/05/2021,michaeloneill@dean.com,2074460189,Good
1648,Maureen Nelson,IT,41.0,42891,South Brandon,03-11-2025,bbuckley@schroeder-mitchell.com,9631714383,Good
